up,down,edge
800,800,50%
800,1000,44%
1000,600,37%
800,600,37%
1000,800,31%
600,800,29%
600,600,28%
600,400,27%
1000,1000,25%
800,400,23%
400,600,23%
1000,200,23%
400,400,18%
400,800,18%
800,200,17%
600,1000,17%
400,200,16%
400,1000,15%
1000,400,15%
600,200,15%
200,600,14%
200,400,13%
800,100,12%
200,800,12%
600,100,11%
200,1000,10%
200,200,10%
800,80,10%
5,1,9%
1000,100,8%
400,100,8%
800,60,8%
600,80,8%
100,400,8%
200,100,8%
100,200,7%
1000,80,7%
600,60,7%
800,50,7%
400,80,7%
100,600,7%
100,100,7%
80,200,7%
100,800,7%
10,1,7%
2,1,7%
800,40,6%
600,50,6%
600,40,6%
400,60,6%
80,600,6%
400,50,6%
200,60,6%
100,80,6%
80,400,6%
200,80,6%
10,2,6%
400,40,5%
80,800,5%
200,50,5%
100,1000,5%
80,100,5%
100,50,5%
80,80,5%
50,600,5%
60,200,5%
100,60,5%
20,1,5%
20,2,5%
5,2,5%
1000,50,4%
80,1000,4%
60,600,4%
1000,60,4%
50,200,4%
200,40,4%
50,800,4%
800,20,4%
40,200,4%
80,50,4%
100,40,4%
80,60,4%
20,5,4%
60,400,4%
80,40,4%
60,100,4%
60,80,4%
10,5,4%
40,1,4%
1000,40,3%
100,20,3%
600,20,3%
60,1000,3%
60,5,3%
50,1,3%
60,60,3%
80,10,3%
40,100,3%
50,400,3%
50,100,3%
40,600,3%
50,50,3%
40,400,3%
200,20,3%
60,800,3%
40,800,3%
50,5,3%
50,2,3%
40,20,3%
40,2,3%
80,20,3%
60,10,3%
50,40,3%
40,5,3%
50,10,3%
50,20,3%
60,50,3%
60,2,3%
50,1000,3%
100,10,3%
40,10,3%
20,10,3%
400,5,2%
400,10,2%
600,10,2%
800,10,2%
1000,20,2%
200,10,2%
400,20,2%
200,5,2%
100,2,2%
20,400,2%
80,2,2%
40,50,2%
50,80,2%
40,80,2%
50,60,2%
40,1000,2%
60,1,2%
40,40,2%
40,60,2%
60,20,2%
100,5,2%
60,40,2%
20,600,2%
100,1,2%
20,200,2%
20,20,2%
80,1,2%
80,5,2%
1000,1,1%
1000,2,1%
1000,5,1%
600,1,1%
800,2,1%
800,1,1%
10,200,1%
1000,10,1%
600,5,1%
400,1,1%
200,1,1%
200,2,1%
600,2,1%
800,5,1%
10,1000,1%
400,2,1%
20,800,1%
20,100,1%
5,800,1%
20,40,1%
20,50,1%
10,600,1%
20,80,1%
20,60,1%
10,10,1%
20,1000,1%
5,5,1%
5,600,1%
2,800,0%
2,1000,0%
10,800,0%
10,80,0%
10,400,0%
1,800,0%
5,400,0%
1,1000,0%
2,200,0%
1,400,0%
10,50,0%
1,600,0%
10,100,0%
5,200,0%
5,100,0%
5,1000,0%
1,1,0%
2,600,0%
2,2,0%
2,100,-1%
1,60,-1%
10,40,-1%
5,80,-1%
5,60,-1%
2,400,-1%
10,60,-1%
10,20,-1%
1,200,-1%
1,100,-1%
5,40,-2%
1,50,-2%
2,40,-2%
5,50,-2%
1,80,-2%
2,80,-2%
2,50,-2%
2,60,-2%
1,40,-3%
5,20,-3%
5,10,-3%
2,20,-4%
1,20,-4%
2,5,-5%
2,10,-5%
1,2,-6%
1,10,-7%
1,5,-8%
